Sample Nr	Sample ID	R.FileName
1	XCHEJF_001	XCHEJF1-254_20250729_plasma_S001_250ng_41p5min_DIA_r1.raw
2	XCHEJF_002	XCHEJF1-254_20250729_plasma_S002_250ng_41p5min_DIA_r1.raw
3	XCHEJF_003	XCHEJF1-254_20250729_plasma_S003_250ng_41p5min_DIA_r1.raw
4	XCHEJF_004	XCHEJF1-254_20250729_plasma_S004_250ng_41p5min_DIA_r1.raw
5	XCHEJF_005	XCHEJF1-254_20250729_plasma_S005_250ng_41p5min_DIA_r1.raw
6	XCHEJF_006	XCHEJF1-254_20250729_plasma_S006_250ng_41p5min_DIA_r1.raw
7	XCHEJF_007	XCHEJF1-254_20250729_plasma_S007_250ng_41p5min_DIA_r1.raw
8	XCHEJF_008	XCHEJF1-254_20250729_plasma_S008_250ng_41p5min_DIA_r1.raw
9	XCHEJF_009	XCHEJF1-254_20250729_plasma_S009_250ng_41p5min_DIA_r1.raw
10	XCHEJF_010	XCHEJF1-254_20250729_plasma_S010_250ng_41p5min_DIA_r1.raw
11	XCHEJF_011	XCHEJF1-254_20250729_plasma_S011_250ng_41p5min_DIA_r1.raw
12	XCHEJF_012	XCHEJF1-254_20250729_plasma_S012_250ng_41p5min_DIA_r1.raw
13	XCHEJF_013	XCHEJF1-254_20250729_plasma_S013_250ng_41p5min_DIA_r1.raw
14	XCHEJF_014	XCHEJF1-254_20250729_plasma_S014_250ng_41p5min_DIA_r1.raw
15	XCHEJF_015	XCHEJF1-254_20250729_plasma_S015_250ng_41p5min_DIA_r1.raw
16	XCHEJF_016	XCHEJF1-254_20250729_plasma_S016_250ng_41p5min_DIA_r1.raw
17	XCHEJF_017	XCHEJF1-254_20250729_plasma_S017_250ng_41p5min_DIA_r1.raw
18	XCHEJF_018	XCHEJF1-254_20250729_plasma_S018_250ng_41p5min_DIA_r1.raw
19	XCHEJF_019	XCHEJF1-254_20250729_plasma_S019_250ng_41p5min_DIA_r1.raw
