Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	comparison	confounders
prerank	Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135)	0.865151515151515	1.710329885897392	0.008797653958944282	1.0	0.656	2/19	13.46%	DMTN;EGFR	Sex: M vs F	country
prerank	Regulation Of Cell-Matrix Adhesion (GO:0001952)	0.9219143576826195	1.7071942313645274	0.0027624309392265192	0.5822677190684635	0.672	4/14	7.95%	EPHA1;TLN1;DUSP3;ADAM15	Sex: M vs F	country
prerank	Transport Across Blood-Brain Barrier (GO:0150104)	0.9728506787330317	1.6781337543846597	0.005681818181818182	0.5962078302063826	0.792	1/10	2.75%	ATP8A1	Sex: M vs F	country
prerank	Regulation Of Kinase Activity (GO:0043549)	0.7922504379751779	1.6391837583297826	0.01524390243902439	0.7403577706545342	0.923	4/23	7.35%	EPHA1;FGFR3;ROR1;KDR	Sex: M vs F	country
prerank	Regulation Of Signal Transduction (GO:0009966)	0.7597366535826939	1.6299055259783328	0.0231023102310231	0.6746401038614874	0.948	5/25	8.20%	IGFBP2;NCAM1;CSK;IGFBP6;NUCKS1	Sex: M vs F	country
prerank	Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138)	0.8649193548387097	1.6212705802663472	0.025423728813559324	0.6296028217235952	0.963	1/15	13.46%	EGFR	Sex: M vs F	country
prerank	Regulation Of Protein Binding (GO:0043393)	-0.8883202503767025	-1.617357373828024	0.0014577259475218659	0.5807762675597141	0.393	3/20	4.30%	ADD2;CFHR2;CFHR1	Sex: M vs F	country
prerank	Positive Regulation Of GTPase Activity (GO:0043547)	0.7641565276090238	1.590136843757809	0.022222222222222223	0.8093580381864944	0.994	3/23	2.70%	EPHA1;PLXNB1;ARHGAP29	Sex: M vs F	country
prerank	Positive Regulation Of DNA Biosynthetic Process (GO:2000573)	-0.9026659784365823	-1.587129778626478	0.004615384615384616	0.5692860896043961	0.604	7/16	8.90%	CCT4;CCT5;CCT2;CCT6A;CCT3;TCP1;CCT8	Sex: M vs F	country
prerank	Regulation Of Cell Cycle (GO:0051726)	-0.82016210739615	-1.5793649077860523	0.002932551319648094	0.44219775767436265	0.653	8/25	18.21%	TGM1;IQGAP1;RAD23A;PTPRC;TTLL12;EP400;LEP;SDCBP	Sex: M vs F	country
prerank	Vascular Transport (GO:0010232)	0.9728779507785033	1.5786588345071677	0.011396011396011397	0.8156113925941245	0.994	1/8	2.75%	ATP8A1	Sex: M vs F	country
prerank	Synapse Assembly (GO:0007416)	0.8882175226586101	1.578172406082362	0.037142857142857144	0.7295835455625894	0.994	5/13	11.36%	PLXNB1;CDH2;DNM3;PTPRD;NRCAM	Sex: M vs F	country
prerank	Negative Regulation Of Protein-Containing Complex Assembly (GO:0031333)	-0.9874245472837023	-1.571190706851645	0.004608294930875576	0.39693342027462475	0.705	1/11	1.35%	CRYAB	Sex: M vs F	country
prerank	Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	-0.8754061236744439	-1.5598827804554074	0.002967359050445104	0.33060375662347036	0.777	7/19	9.70%	MMP8;CD84;PTPRC;ORM2;PTPRJ;HAVCR2;LCP1	Sex: M vs F	country
prerank	Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760)	-0.8754061236744439	-1.5598827804554074	0.002967359050445104	0.33060375662347036	0.777	7/19	9.70%	MMP8;CD84;PTPRC;ORM2;PTPRJ;HAVCR2;LCP1	Sex: M vs F	country
prerank	Regulation Of Actin Filament Polymerization (GO:0030833)	0.8665659617321249	1.548825670185863	0.04722222222222222	0.9194039453578281	1.0	2/13	13.36%	PFN3;CTTN	Sex: M vs F	country
prerank	Intrinsic Apoptotic Signaling Pathway (GO:0097193)	-0.9904522613065327	-1.5476179156022833	0.001669449081803005	0.36186599404735525	0.851	1/9	1.05%	CYCS	Sex: M vs F	country
prerank	Cellular Response To Starvation (GO:0009267)	-0.955734406438632	-1.5476037394238173	0.004966887417218543	0.3167633149954736	0.851	1/11	4.50%	EIF2S1	Sex: M vs F	country
prerank	Positive Regulation Of Immune Response (GO:0050778)	-0.8971774193548386	-1.5450007399484222	0.006033182503770739	0.29828037722391393	0.86	4/15	10.46%	ITGB2;ITGAM;PTPRC;C6	Sex: M vs F	country
prerank	Protein Complex Oligomerization (GO:0051259)	0.8303123372230965	1.5372959447497991	0.0625	0.9466184959929144	1.0	2/14	14.16%	FUS;PXDN	Sex: M vs F	country
prerank	Phagocytosis, Engulfment (GO:0006911)	-0.9396378269617709	-1.534930837625776	0.008237232289950576	0.3272611594001051	0.907	3/11	6.20%	ITGB2;ITGAM;MYH9	Sex: M vs F	country
