Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	comparison	confounders
prerank	Response To Peptide Hormone (GO:0043434)	-0.9147257839171098	-1.846247366209739	0.0033333333333333335	1.0	0.555	1/11	0.15%	LEP	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Lymphocyte Proliferation (GO:0050671)	-0.8921854819117769	-1.8207162729594277	0.0032258064516129032	1.0	0.659	1/12	0.15%	LEP	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Interleukin-6 Production (GO:0032755)	-0.8830911401281109	-1.8024775927087326	0.009433962264150943	1.0	0.713	4/12	5.10%	LEP;MMP8;LCP1;HSPD1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874)	-0.8685880048032305	-1.7777910174847875	0.021148036253776436	1.0	0.804	3/13	4.60%	LEP;MMP8;SERPINF2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Homotypic Cell-Cell Adhesion (GO:0034109)	0.9011762898744239	1.7511116048667423	0.0013175230566534915	0.4526470974527305	0.262	1/26	0.05%	CDHR2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Establishment Of Protein Localization To Organelle (GO:0072594)	-0.8842941777428441	-1.7370198788320703	0.024096385542168676	1.0	0.888	4/9	7.05%	APLP2;GCKR;LAMP1;NUTF2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Regulation Of Toll-Like Receptor 4 Signaling Pathway (GO:0034143)	-0.9891477838414959	-1.7225233092380605	0.0	1.0	0.911	1/6	0.25%	APLP2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Sulfur Compound Biosynthetic Process (GO:0044272)	0.9293260668317288	1.7143448637638738	0.0057306590257879654	0.6455509072082868	0.468	2/14	0.45%	GGT7;GGT1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Response To Insulin (GO:0032868)	-0.8184181150109885	-1.7087679972563912	0.03115264797507788	1.0	0.931	1/12	0.15%	LEP	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Regulation Of Cold-Induced Thermogenesis (GO:0120161)	-0.7851356535975353	-1.69906394627759	0.03914590747330961	1.0	0.944	2/16	0.25%	LEP;APLP2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Metabolic Process (GO:0009893)	-0.7788984314170289	-1.6970464692008438	0.03908794788273615	1.0	0.946	2/16	0.25%	LEP;APLP2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Peptide Biosynthetic Process (GO:0043043)	0.9023886946164825	1.6897439290271616	0.0041265474552957355	0.7366443729261883	0.608	3/19	1.40%	GGT7;GGT1;SRBD1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Regulation Of Fat Cell Differentiation (GO:0045598)	-0.8827586348707774	-1.6875962402116191	0.020588235294117647	1.0	0.961	3/9	3.40%	LEP;LCP1;RARRES2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Positive Regulation Of Developmental Process (GO:0051094)	-0.7286250509894281	-1.6851833913735887	0.041666666666666664	1.0	0.963	5/30	4.60%	LEP;ENPP2;PHF10;LCP1;SERPINF2	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Modification-Dependent Protein Catabolic Process (GO:0019941)	-0.8244058143861995	-1.6824106515160482	0.045454545454545456	1.0	0.967	1/12	0.20%	PSMD13	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Regulation Of Cell Cycle (GO:0051726)	-0.7237784321166918	-1.6785548157131722	0.050980392156862744	0.9549415654833533	0.969	9/25	13.26%	LEP;IQGAP1;TRRAP;RACK1;SPATA22;PRKACA;TTLL12;HNRNPU;TGFB1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Cellular Response To Hormone Stimulus (GO:0032870)	-0.7961572374876879	-1.6749268850584857	0.04666666666666667	0.9155499919904576	0.972	1/16	0.15%	LEP	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990)	-0.887137289099453	-1.674819445432735	0.02865329512893983	0.8551246281859164	0.972	3/9	3.20%	APLP2;PHF10;KNTC1	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Negative Regulation Of Cell Growth (GO:0030308)	0.8918440314850301	1.6737365048516653	0.008152173913043478	0.7248699079301437	0.687	2/19	1.30%	CDHR2;SEMA3G	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Regulation Of Vasculature Development (GO:1901342)	-0.92157190188214	-1.6737244953087949	0.019230769230769232	0.8096208111338203	0.972	1/7	0.15%	LEP	Sex: M vs F	country, cancer_type, TP, toxicity
prerank	Regulation Of Glucose Import (GO:0046324)	-0.9599107699863897	-1.6735795615991138	0.005449591280653951	0.7628436616061645	0.972	2/6	0.25%	LEP;APLP2	Sex: M vs F	country, cancer_type, TP, toxicity
