Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Response To Molecule Of Bacterial Origin (GO:0002237),-0.9959778783308195,-6.472346952910896,0.03412616339193381,1.0,0.905,1/10,0.50%,SELE
prerank,Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157),-0.9944528492183562,-6.451630286264355,0.07142857142857142,1.0,0.932,2/16,0.70%,SELE;CADM1
prerank,Calcium-Mediated Signaling (GO:0019722),-0.9959677419354838,-6.382786459334394,0.060445387062566275,1.0,0.974,1/15,0.50%,SELE
prerank,Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),-0.9964753272910374,-6.278194188575345,0.0429769392033543,1.0,0.993,2/13,0.50%,DGKD;SELE
prerank,Transport Across Blood-Brain Barrier (GO:0150104),-0.9949723479135242,-6.228683444152325,0.05015353121801433,1.0,0.995,1/10,0.60%,ABCC2
prerank,Phosphatidylinositol-Mediated Signaling (GO:0048015),-0.999497487437186,-6.209779066940083,0.010309278350515464,1.0,0.996,1/9,0.15%,MUC5AC
prerank,Positive Regulation Of Protein Localization (GO:1903829),-0.9989954796584632,-6.0669709613811245,0.008221993833504625,1.0,1.0,1/8,0.20%,CROCC
prerank,Leukocyte Adhesion To Vascular Endothelial Cell (GO:0061756),-0.9959798994974876,-6.066220892362545,0.035641547861507125,1.0,1.0,1/9,0.50%,SELE
prerank,Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912),-0.9939668174962292,-6.057023359875279,0.059487179487179485,1.0,1.0,1/10,0.70%,CADM1
prerank,Endothelial Cell Migration (GO:0043542),-0.9944640161046804,-6.034499585992367,0.06804123711340206,1.0,1.0,1/12,0.65%,DPP4
prerank,Vascular Transport (GO:0010232),-0.9949773982923156,-6.028215093360355,0.03756345177664975,1.0,1.0,1/8,0.60%,ABCC2
prerank,Regulation Of Synapse Assembly (GO:0051963),-0.9969879518072288,-5.991023991430305,0.02142857142857143,1.0,1.0,1/7,0.40%,CLSTN1
prerank,Nitrogen Compound Transport (GO:0071705),-0.9949647532729103,-5.981012402537071,0.06365503080082136,1.0,1.0,1/13,0.60%,ABCC2
prerank,Regulation Of Cell-Cell Adhesion (GO:0022407),-0.9944751381215471,-5.958771959516641,0.041922290388548056,1.0,1.0,1/8,0.65%,DPP4
