Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Positive Regulation Of Secretion (GO:0051047),-0.9939789262418464,-4.51606592032188,0.031313131313131314,0.6207490257897028,0.395,1/6,0.70%,FLNB
prerank,Positive Regulation Of Peptide Hormone Secretion (GO:0090277),-0.9939789262418464,-4.349652678099542,0.04627766599597585,1.0,0.853,1/6,0.70%,FLNB
prerank,Positive Regulation Of Synapse Assembly (GO:0051965),-0.9919719016557953,-4.332952443947867,0.04417670682730924,0.9938713399364674,0.909,1/6,0.90%,CLSTN1
prerank,Positive Regulation Of DNA Metabolic Process (GO:0051054),-0.9894578313253011,-4.3300733500814035,0.05639476334340383,0.7729082382088861,0.916,2/7,1.20%,PRIM2;RPS3
prerank,Positive Regulation Of Phosphatase Activity (GO:0010922),-0.9944806823883593,-4.323292934258305,0.02620967741935484,0.6601135981568547,0.928,1/6,0.65%,ITGA1
prerank,Positive Regulation Of DNA Repair (GO:0045739),-0.9889558232931726,-4.294195279677984,0.05146316851664985,0.7731605752112396,0.968,1/7,1.20%,RPS3
prerank,Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),-0.9914658634538152,-4.278616743647704,0.0625,0.7929149576812023,0.988,1/7,0.95%,MAPK1
prerank,Protein Deubiquitination (GO:0016579),-0.9964859437751004,-4.2735042080629,0.02512562814070352,0.7325343178323201,0.989,1/7,0.45%,COPS5
prerank,Skeletal Muscle Tissue Development (GO:0007519),-0.993480441323972,-4.244397854613557,0.024096385542168676,0.8011195150720116,0.999,1/5,0.75%,MYOD1
prerank,Skeletal Muscle Organ Development (GO:0060538),-0.993480441323972,-4.244397854613557,0.024096385542168676,0.8011195150720116,0.999,1/5,0.75%,MYOD1
prerank,Positive Regulation Of Synaptic Transmission (GO:0050806),-0.9919678714859436,-4.232606447182888,0.05141129032258065,0.8294087870085919,0.999,1/7,0.90%,CLSTN1
prerank,Carboxylic Acid Metabolic Process (GO:0019752),-0.9859437751004015,-4.221072114339126,0.07971745711402624,0.8587869313432067,0.999,1/7,1.50%,GRHPR
prerank,Regulation Of Actin Filament Bundle Assembly (GO:0032231),-0.9969894631209231,-4.217065562033344,0.019076305220883535,0.8257243138553458,1.0,1/6,0.40%,RAC1
prerank,Regulation Of DNA Repair (GO:0006282),-0.988950276243094,-4.207437671903259,0.06572295247724974,0.8469871724712462,1.0,1/8,1.20%,RPS3
prerank,Peptidyl-Tyrosine Dephosphorylation (GO:0035335),-0.9884480160723256,-4.205887618852704,0.08032128514056225,0.8063344797873182,1.0,1/8,1.25%,PTPRZ1
prerank,Positive Regulation Of Nervous System Development (GO:0051962),-0.9919678714859437,-4.200821417710627,0.053266331658291456,0.792905945645404,1.0,1/7,0.90%,CLSTN1
