Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	comparison	confounders
prerank	Regulation Of Cellular Extravasation (GO:0002691)	-0.9944834503510531	-3.1907373526132528	0.021966527196652718	1.0	0.588	1/5	0.65%	OLFM4	TP: T1 vs T0	country, Sex
prerank	Negative Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900016)	-0.993480441323972	-3.1906944341063928	0.017970401691331923	0.5779225414285768	0.59	1/5	0.75%	APOD	TP: T1 vs T0	country, Sex
prerank	Negative Regulation Of Lipid Metabolic Process (GO:0045833)	-0.9934771700953337	-3.181378551312919	0.028907922912205567	0.4453561048058777	0.648	1/6	0.75%	APOD	TP: T1 vs T0	country, Sex
prerank	Regulation Of Cardiac Muscle Hypertrophy (GO:0010611)	-0.9999999999999999	-3.1199452122989206	0.0	1.0	0.956	1/5	0.10%	PDE9A	TP: T1 vs T0	country, Sex
prerank	Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0010640)	-0.993480441323972	-3.116806108944214	0.02536997885835095	0.8966860895405758	0.961	1/5	0.75%	APOD	TP: T1 vs T0	country, Sex
prerank	Canonical Wnt Signaling Pathway (GO:0060070)	-0.979939819458375	-3.0979922595697533	0.08742004264392324	0.9658891255699441	0.99	1/5	2.10%	JUP	TP: T1 vs T0	country, Sex
prerank	Cortical Cytoskeleton Organization (GO:0030865)	-0.9623871614844534	-3.068511870190453	0.16823406478578892	1.0	0.999	1/5	3.85%	RAC1	TP: T1 vs T0	country, Sex
prerank	Negative Regulation Of Intracellular Protein Transport (GO:0090317)	-0.9699097291875627	-3.0524185759664886	0.13298429319371727	1.0	1.0	2/5	3.15%	APOD;DMTN	TP: T1 vs T0	country, Sex
prerank	Negative Regulation Of Immune Effector Process (GO:0002698)	-0.9929789368104313	-3.0435970372637575	0.02676659528907923	1.0	1.0	1/5	0.80%	LGALS3	TP: T1 vs T0	country, Sex
prerank	Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0045953)	-0.9744104365278473	-3.0414362086718008	0.1276595744680851	1.0	1.0	1/6	2.65%	SERPINB4	TP: T1 vs T0	country, Sex
prerank	Fatty Acid Beta-Oxidation (GO:0006635)	-0.9859578736208625	-3.02910600801788	0.06302521008403361	1.0	1.0	1/5	1.50%	PPARD	TP: T1 vs T0	country, Sex
prerank	Positive Chemotaxis (GO:0050918)	-0.9929789368104314	-3.0158589844381534	0.020127118644067795	1.0	1.0	1/5	0.80%	LGALS3	TP: T1 vs T0	country, Sex
prerank	Detection Of Mechanical Stimulus (GO:0050982)	-0.979939819458375	-3.0145315201650518	0.08133472367049009	1.0	1.0	1/5	2.10%	JUP	TP: T1 vs T0	country, Sex
prerank	Insulin Receptor Signaling Pathway (GO:0008286)	-0.9719157472417252	-3.0140166765592693	0.12210526315789473	1.0	1.0	1/5	2.90%	GPLD1	TP: T1 vs T0	country, Sex
prerank	Positive Regulation Of Signaling (GO:0023056)	-0.99197592778335	-3.00080930830871	0.03761755485893417	1.0	1.0	1/5	0.90%	CLSTN1	TP: T1 vs T0	country, Sex
prerank	Cardiac Myofibril Assembly (GO:0055003)	-0.9884653961885658	-2.9858727854378073	0.050314465408805034	1.0	1.0	1/5	1.25%	NEB	TP: T1 vs T0	country, Sex
prerank	Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913)	-0.9719157472417252	-2.984309813493247	0.11979166666666667	1.0	1.0	1/5	2.90%	GPLD1	TP: T1 vs T0	country, Sex
prerank	Chordate Embryonic Development (GO:0043009)	-0.9814350225790266	-2.9838912295402733	0.09776833156216791	1.0	1.0	1/6	1.95%	HINFP	TP: T1 vs T0	country, Sex
prerank	Autophagosome Assembly (GO:0000045)	-0.9663991975927784	-2.978565615395747	0.1492063492063492	1.0	1.0	1/5	3.45%	RAB1B	TP: T1 vs T0	country, Sex
prerank	Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078)	-0.9929754139488207	-2.977224287873097	0.03751339764201501	1.0	1.0	1/6	0.80%	LGALS3	TP: T1 vs T0	country, Sex
prerank	Regulation Of Dendritic Cell Differentiation (GO:2001198)	-0.9929789368104314	-2.9749345855325244	0.033578174186778595	1.0	1.0	1/5	0.80%	LGALS3	TP: T1 vs T0	country, Sex
prerank	Fatty Acid Catabolic Process (GO:0009062)	-0.9859508278976418	-2.9746281228222164	0.07278481012658228	1.0	1.0	1/6	1.50%	PPARD	TP: T1 vs T0	country, Sex
prerank	Positive Regulation Of Synapse Assembly (GO:0051965)	-0.9919719016557953	-2.9590000986209355	0.0379746835443038	1.0	1.0	1/6	0.90%	CLSTN1	TP: T1 vs T0	country, Sex
prerank	Receptor-Mediated Virion Attachment To Host Cell (GO:0046813)	-0.9874623871614845	-2.9569498506938268	0.06010362694300518	1.0	1.0	1/5	1.35%	DPP4	TP: T1 vs T0	country, Sex
