Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	comparison	confounders
prerank	Positive Regulation Of Alpha-Beta T Cell Activation (GO:0046635)	-0.999497487437186	-6.675188713156001	0.008238928939237899	0.2191220534547575	0.197	1/9	0.15%	HSPH1	TP: T1 vs T0	country, cancer_type, Sex
prerank	Sphingolipid Metabolic Process (GO:0006665)	-0.9934673366834172	-6.478935698447899	0.04722792607802875	0.6512225513889055	0.643	1/9	0.75%	ENPP7	TP: T1 vs T0	country, cancer_type, Sex
prerank	Sprouting Angiogenesis (GO:0002040)	-0.9954682779456194	-6.303234156891008	0.048304213771839674	1.0	0.898	1/13	0.55%	MIA3	TP: T1 vs T0	country, cancer_type, Sex
prerank	Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404)	-0.9954751131221717	-6.277579666887479	0.045785639958376693	0.9484196355722858	0.923	1/10	0.55%	MIA3	TP: T1 vs T0	country, cancer_type, Sex
prerank	Phospholipid Metabolic Process (GO:0006644)	-0.9934673366834171	-6.25246894275677	0.047520661157024795	0.8363499685132988	0.938	1/9	0.75%	ENPP7	TP: T1 vs T0	country, cancer_type, Sex
prerank	Cellular Response To Salt (GO:1902075)	-0.9949647532729105	-6.238435651743616	0.05362776025236593	0.7433766860194111	0.946	1/13	0.60%	PDXP	TP: T1 vs T0	country, cancer_type, Sex
prerank	Exocytosis (GO:0006887)	-0.9944723618090454	-6.225491945919412	0.04660587639311044	0.6826719782866177	0.954	2/9	0.70%	MIA3;COPS5	TP: T1 vs T0	country, cancer_type, Sex
prerank	Muscle Cell Development (GO:0055001)	-0.9974849094567405	-6.205692275386287	0.023711340206185566	0.6760529709976807	0.968	1/11	0.35%	MYOD1	TP: T1 vs T0	country, cancer_type, Sex
prerank	Muscle Organ Development (GO:0007517)	-0.9974836436839457	-6.1921223977342335	0.033229491173416406	0.6528153389010378	0.973	1/12	0.35%	MYOD1	TP: T1 vs T0	country, cancer_type, Sex
prerank	Regulation Of Mitotic Cell Cycle (GO:0007346)	-0.9949647532729106	-6.136374266654951	0.06010362694300518	0.7794191920082308	0.991	1/13	0.60%	PDXP	TP: T1 vs T0	country, cancer_type, Sex
prerank	Establishment Of Protein Localization To Extracellular Region (GO:0035592)	-0.995472837022133	-6.108266284814104	0.0506198347107438	0.8423260245166103	0.998	1/11	0.55%	MIA3	TP: T1 vs T0	country, cancer_type, Sex
prerank	Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	-0.9954659949622164	-6.021430381955926	0.06438213914849429	1.0	1.0	1/14	0.55%	MIA3	TP: T1 vs T0	country, cancer_type, Sex
prerank	Regulation Of JNK Cascade (GO:0046328)	-0.9939485627836612	-6.003911034230234	0.0849740932642487	1.0	1.0	1/16	0.70%	COPS5	TP: T1 vs T0	country, cancer_type, Sex
prerank	Actin Filament Bundle Assembly (GO:0051017)	-0.9949672873678914	-5.977440250139649	0.05416666666666667	1.0	1.0	1/12	0.60%	PDXP	TP: T1 vs T0	country, cancer_type, Sex
