Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	comparison	confounders
prerank	Positive Regulation Of Interleukin-10 Production (GO:0032733)	-1.0	-2.4834680260690924	0.001092896174863388	0.03919706759898227	0.033	1/5	0.10%	PIBF1	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Megakaryocyte Development (GO:0035855)	-0.9799398194583752	-2.4247226301209803	0.08333333333333333	0.34270949643975035	0.453	1/5	2.10%	GP5	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Cell Junction Maintenance (GO:0034331)	-0.9939819458375125	-2.4092160308121238	0.03540772532188841	0.37431433923352425	0.635	1/5	0.70%	CBLN1	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Aminoglycan Catabolic Process (GO:0006026)	-0.9528585757271815	-2.383117279684097	0.17991169977924945	0.5953716754223792	0.876	1/5	4.80%	CTBS	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Positive Regulation Of Fibroblast Proliferation (GO:0048146)	-0.9854563691073219	-2.3794992916048034	0.056583242655059846	0.5254525818674378	0.903	1/5	1.55%	IGF1	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Receptor-Mediated Virion Attachment To Host Cell (GO:0046813)	-0.9764292878635907	-2.379377869466872	0.08934337997847147	0.43858340502645016	0.903	1/5	2.45%	DPP4	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913)	-0.9854563691073219	-2.3665217828860032	0.055853920515574654	0.5187936205764911	0.962	1/5	1.55%	IGF1	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Glycosaminoglycan Catabolic Process (GO:0006027)	-0.9493480441323972	-2.365319931860477	0.1858695652173913	0.46506791016089766	0.966	1/5	5.15%	CEMIP	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Signal Transduction In Response To DNA Damage (GO:0042770)	-0.9984947315604616	-2.363726546958654	0.005399568034557235	0.43046149011855295	0.968	1/6	0.25%	HINFP	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Ganglioside Metabolic Process (GO:0001573)	-0.9969909729187564	-2.3599257949704406	0.010834236186348862	0.42449364829492414	0.976	1/5	0.40%	GM2A	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Artery Morphogenesis (GO:0048844)	-0.9749247743229689	-2.356527460238585	0.11004273504273504	0.4166253425877083	0.984	1/5	2.60%	LRP1	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Regulation Of Dendritic Cell Differentiation (GO:2001198)	-0.9643931795386158	-2.350311725353413	0.11595744680851064	0.44335061595065073	0.988	1/5	3.65%	LGALS3	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Regulation Of Osteoblast Proliferation (GO:0033688)	-0.9819458375125375	-2.347121148097328	0.047670639219934995	0.4434728521281943	0.991	1/5	1.90%	LTF	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Regulation Of Cellular Metabolic Process (GO:0031323)	-0.9794383149448345	-2.331872691081671	0.08315334773218143	0.5671467599505253	1.0	1/5	2.15%	PGAM1	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Positive Regulation Of Osteoblast Differentiation (GO:0045669)	-0.9824473420260783	-2.3266487868814756	0.06594594594594595	0.58830914071986	1.0	2/5	1.90%	IGF1;LTF	TP: T2 vs T0	country, cancer_type, toxicity
prerank	Regulation Of Basement Membrane Organization (GO:0110011)	-0.9699097291875627	-2.325412333110794	0.11278195488721804	0.5656428184089619	1.0	1/5	3.10%	LAMA2	TP: T2 vs T0	country, cancer_type, toxicity
