Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cellular Response To Thyroid Hormone Stimulus (GO:0097067),-0.9859578736208625,-4.075378289427284,0.05906735751295337,0.520429551003484,0.548,1/5,1.50%,CTSB
prerank,Response To Thyroid Hormone (GO:0097066),-0.9859578736208625,-4.075378289427284,0.05906735751295337,0.520429551003484,0.548,1/5,1.50%,CTSB
prerank,Negative Regulation Of Viral Process (GO:0048525),-0.9819277108433734,-4.024974294321602,0.0997920997920998,0.672650052087507,0.761,1/7,1.90%,LTF
prerank,Modulation By Host Of Viral Process (GO:0044788),-0.9819277108433734,-4.011062536568843,0.09822361546499478,0.6078534874368756,0.822,1/7,1.90%,LTF
prerank,Positive Regulation Of Ion Transmembrane Transporter Activity (GO:0032414),-0.9879638916750251,-3.949887206732036,0.04564315352697095,1.0,0.975,1/5,1.30%,RELN
prerank,Modulation By Host Of Viral Genome Replication (GO:0044827),-0.9869608826479438,-3.925229743096342,0.05973223480947477,1.0,0.992,1/5,1.40%,DDX56
prerank,Energy Reserve Metabolic Process (GO:0006112),-0.9909683893627695,-3.9039764905741703,0.04860392967942089,1.0,0.998,1/6,1.00%,UGP2
prerank,Iron Ion Transport (GO:0006826),-0.9819277108433735,-3.8949035946717636,0.1031578947368421,1.0,0.998,1/7,1.90%,LTF
prerank,Cell Junction Maintenance (GO:0034331),-0.993480441323972,-3.882228022595695,0.03347280334728033,1.0,1.0,1/5,0.75%,CBLN1
prerank,Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000116),-0.9819367787255393,-3.8673198723649094,0.09725158562367865,1.0,1.0,1/6,1.90%,LTF
prerank,Glycerophospholipid Catabolic Process (GO:0046475),-0.9784353059177533,-3.8578605979904452,0.10155440414507771,1.0,1.0,1/5,2.25%,PRDX6
prerank,Skeletal System Morphogenesis (GO:0048705),-0.9819458375125375,-3.8528845604848265,0.07772020725388601,1.0,1.0,1/5,1.90%,LTF
prerank,Regulation Of Interleukin-12 Production (GO:0032655),-1.0,-3.8506890370023967,0.0010548523206751054,1.0,1.0,1/6,0.10%,PIBF1
prerank,Negative Regulation Of Viral Genome Replication (GO:0045071),-0.9819458375125375,-3.8410403163014553,0.07525773195876288,1.0,1.0,1/5,1.90%,LTF
prerank,Regulation Of Sprouting Angiogenesis (GO:1903670),-0.981425702811245,-3.8190750972849354,0.11783107403545359,1.0,1.0,1/7,1.95%,ITGA5
prerank,Positive Regulation Of Osteoblast Differentiation (GO:0045669),-0.9819458375125376,-3.8161375932121153,0.07979274611398963,1.0,1.0,1/5,1.90%,LTF
prerank,Signal Transduction In Response To DNA Damage (GO:0042770),-0.9959859508278976,-3.815345468308886,0.021920668058455117,1.0,1.0,1/6,0.50%,HINFP
prerank,Glutamate Metabolic Process (GO:0006536),-0.9914658634538153,-3.8105685339974738,0.05084745762711865,1.0,1.0,1/7,0.95%,GOT2
prerank,Regulation Of Neuron Migration (GO:2001222),-0.9879518072289156,-3.792826033122649,0.07916666666666666,1.0,1.0,1/7,1.30%,RELN
prerank,Positive Regulation Of Interleukin-10 Production (GO:0032733),-1.0,-3.7922624336781428,0.001040582726326743,1.0,1.0,1/5,0.10%,PIBF1
prerank,Regulation Of Osteoblast Proliferation (GO:0033688),-0.9819458375125375,-3.7918609842876463,0.07621009268795056,1.0,1.0,1/5,1.90%,LTF
prerank,Negative Regulation Of Complement Activation (GO:0045916),-0.9839276745354095,-3.7787667007761865,0.10642781875658588,1.0,1.0,1/8,1.70%,SVEP1
