Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	comparison	confounders
prerank	Intracellular Monoatomic Cation Homeostasis (GO:0030003)	-0.9994939271255062	-11.784462266189637	0.02112676056338028	1.0	0.832	1/23	0.15%	STC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Intracellular Calcium Ion Homeostasis (GO:0006874)	-0.9994952044422009	-11.742792258495204	0.022110552763819097	1.0	0.838	1/18	0.15%	STC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Calcium Ion Homeostasis (GO:0055074)	-0.999496475327291	-11.072058601165866	0.014056224899598393	1.0	0.945	1/13	0.15%	STC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Lipid Transport (GO:0006869)	-0.9989878542510123	-10.668935441954547	0.029263370332996974	1.0	0.972	1/23	0.20%	ABCC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)	-0.9994921279837483	-10.435030014333643	0.02032520325203252	1.0	0.979	1/30	0.15%	STC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Regulation Of Cellular Biosynthetic Process (GO:0031326)	-0.9994962216624683	-10.386393021304519	0.021169354838709676	1.0	0.982	1/14	0.15%	STC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Nitrogen Compound Transport (GO:0071705)	-0.998992950654582	-9.955455041091927	0.023138832997987926	1.0	0.985	1/13	0.20%	ABCC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Negative Regulation Of Gene Expression (GO:0010629)	-0.9994890137966276	-9.766257387875042	0.03971486761710794	1.0	0.987	1/42	0.15%	STC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Intermediate Filament Organization (GO:0045109)	-0.9984693877551021	-9.658668034952587	0.06981519507186858	1.0	0.988	1/39	0.25%	KRT77	TP: T2 vs T0	country, Sex, cancer_type
prerank	Monocarboxylic Acid Transport (GO:0015718)	-0.9989949748743719	-8.774224964917023	0.014042126379137413	1.0	0.99	1/9	0.20%	ABCC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Transport Across Blood-Brain Barrier (GO:0150104)	-0.9989944695827049	-8.18629050182228	0.017051153460381142	1.0	0.991	1/10	0.20%	ABCC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Vascular Transport (GO:0010232)	-0.9989954796584632	-7.301514493490517	0.011022044088176353	1.0	0.993	1/8	0.20%	ABCC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Supramolecular Fiber Organization (GO:0097435)	-0.9984177215189874	-4.882339120782758	0.15961945031712474	1.0	0.998	1/103	0.25%	KRT77	TP: T2 vs T0	country, Sex, cancer_type
prerank	Wound Healing, Spreading Of Cells (GO:0044319)	-0.5158371040723981	-4.735129135933735	0.01903807615230461	1.0	1.0	10/10	100.00%	LRG1;RHOA;CEACAM1;ITGA5;PDCD10;CD44;ITGB1;FLNA;COL5A1;LCP1	TP: T2 vs T0	country, Sex, cancer_type
prerank	Regulation Of Gene Expression (GO:0010468)	-0.999471737982039	-4.70591974900492	0.07352941176470588	1.0	1.0	1/106	0.15%	STC2	TP: T2 vs T0	country, Sex, cancer_type
prerank	Positive Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904874)	-0.5958835341365462	-4.631505545261166	0.010040160642570281	1.0	1.0	7/7	100.00%	CCT5;CCT6A;CCT4;TCP1;CCT3;CCT8;CCT7	TP: T2 vs T0	country, Sex, cancer_type
prerank	Positive Regulation Of Protein Localization To Chromosome, Telomeric Region (GO:1904816)	-0.5958835341365462	-4.631505545261166	0.010040160642570281	1.0	1.0	7/7	100.00%	CCT5;CCT6A;CCT4;TCP1;CCT3;CCT8;CCT7	TP: T2 vs T0	country, Sex, cancer_type
prerank	Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904872)	-0.5958835341365462	-4.631505545261166	0.010040160642570281	1.0	1.0	7/7	100.00%	CCT5;CCT6A;CCT4;TCP1;CCT3;CCT8;CCT7	TP: T2 vs T0	country, Sex, cancer_type
prerank	Regulation Of Protein Localization To Cajal Body (GO:1904869)	-0.5958835341365462	-4.631505545261166	0.010040160642570281	1.0	1.0	7/7	100.00%	CCT5;CCT6A;CCT4;TCP1;CCT3;CCT8;CCT7	TP: T2 vs T0	country, Sex, cancer_type
prerank	Positive Regulation Of Establishment Of Protein Localization To Telomere (GO:1904851)	-0.5958835341365462	-4.631505545261166	0.010040160642570281	1.0	1.0	7/7	100.00%	CCT5;CCT6A;CCT4;TCP1;CCT3;CCT8;CCT7	TP: T2 vs T0	country, Sex, cancer_type
prerank	Positive Regulation Of Protein Localization To Cajal Body (GO:1904871)	-0.5958835341365462	-4.631505545261166	0.010040160642570281	1.0	1.0	7/7	100.00%	CCT5;CCT6A;CCT4;TCP1;CCT3;CCT8;CCT7	TP: T2 vs T0	country, Sex, cancer_type
prerank	Positive Regulation Of Establishment Of Protein Localization (GO:1904951)	-0.5958835341365462	-4.631505545261166	0.010040160642570281	1.0	1.0	7/7	100.00%	CCT5;CCT6A;CCT4;TCP1;CCT3;CCT8;CCT7	TP: T2 vs T0	country, Sex, cancer_type
prerank	Regulation Of Establishment Of Protein Localization To Telomere (GO:0070203)	-0.5958835341365462	-4.631505545261166	0.010040160642570281	1.0	1.0	7/7	100.00%	CCT5;CCT6A;CCT4;TCP1;CCT3;CCT8;CCT7	TP: T2 vs T0	country, Sex, cancer_type
prerank	Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090092)	-0.7044656297039639	-4.546060350695239	0.012012012012012012	1.0	1.0	6/6	100.00%	DKK3;TGFB1;LTBP4;FSTL1;ENG;FKBP1A	TP: T2 vs T0	country, Sex, cancer_type
