Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	comparison	confounders
prerank	Negative Regulation Of Binding (GO:0051100)	0.9175879396984926	2.1347837828923124	0.0	0.5292360571218135	0.334	5/9	8.45%	PARK7;BAX;CAMK1;RACK1;CFHR1	toxicity: yes vs no	country, cancer_type, Sex
prerank	Negative Regulation Of DNA Metabolic Process (GO:0051053)	0.8672699849170437	2.1207476582700187	0.01639344262295082	0.3079299480338803	0.385	6/10	13.51%	H1-2;GDF2;ENPP7;H1-5;RPS3;H1-3	toxicity: yes vs no	country, cancer_type, Sex
prerank	Regulation Of Actin Filament Polymerization (GO:0030833)	0.7802488531426333	2.112335507935872	0.0	0.2250637642020268	0.41	5/13	15.81%	MTPN;PFN3;EVL;HCLS1;TWF2	toxicity: yes vs no	country, cancer_type, Sex
prerank	Negative Regulation Of Protein Binding (GO:0032091)	0.7869485855064668	2.0820695797217383	0.005747126436781609	0.22071279512255004	0.511	7/13	8.45%	PARK7;BAX;ADAM15;CAMK1;RACK1;B2M;CFHR1	toxicity: yes vs no	country, cancer_type, Sex
prerank	Regulation Of Protein Binding (GO:0043393)	0.6704707014504983	2.0290632176933574	0.0	0.2781455869716437	0.652	7/20	8.45%	PARK7;BAX;PRKACA;CAMK1;RACK1;B2M;CFHR1	toxicity: yes vs no	country, cancer_type, Sex
prerank	Heart Contraction (GO:0060047)	0.7272781878616423	1.9274994841274473	0.005952380952380952	0.5496065032666366	0.901	5/13	7.50%	ATP1B1;TTN;SOD1;TCAP;MYL3	toxicity: yes vs no	country, cancer_type, Sex
prerank	Regulation Of Amide Metabolic Process (GO:0034248)	0.914701455092825	1.9240876313695563	0.024291497975708502	0.4814319033395101	0.91	3/6	8.65%	MTPN;CYFIP1;EIF4E	toxicity: yes vs no	country, cancer_type, Sex
prerank	Nucleotide Metabolic Process (GO:0009117)	0.9679037111334003	1.8617285677378188	0.007692307692307693	0.6738563361839682	0.974	3/5	3.35%	PARK7;ME1;NUDT5	toxicity: yes vs no	country, cancer_type, Sex
prerank	Autophagosome Assembly (GO:0000045)	0.9719157472417251	1.8523151815971222	0.017241379310344827	0.6451300516933317	0.981	1/5	2.85%	RAB1A	toxicity: yes vs no	country, cancer_type, Sex
prerank	Regulation Of Actin Polymerization Or Depolymerization (GO:0008064)	0.7904158176244291	1.8328271525347053	0.03260869565217391	0.6693768157453251	0.99	2/9	5.90%	PFN3;CXCL12	toxicity: yes vs no	country, cancer_type, Sex
prerank	Nuclear Migration (GO:0007097)	0.9704112337011033	1.8321762565384807	0.012096774193548387	0.6113291348775616	0.99	2/5	3.05%	LMNB1;PAFAH1B1	toxicity: yes vs no	country, cancer_type, Sex
prerank	Cardiac Muscle Contraction (GO:0060048)	0.7123482942919057	1.7719771153646025	0.005813953488372093	0.847252342567208	0.996	4/11	7.50%	ATP1B1;TTN;TCAP;MYL3	toxicity: yes vs no	country, cancer_type, Sex
prerank	Regulation Of Fatty Acid Oxidation (GO:0046320)	0.9663991975927784	1.7695643243915327	0.015267175572519083	0.7939453647543178	0.996	1/5	3.40%	FABP3	toxicity: yes vs no	country, cancer_type, Sex
prerank	Ribosome Assembly (GO:0042255)	0.9222668004012036	1.7340697434345673	0.06694560669456066	0.8974297522110444	0.999	2/5	7.85%	NPM1;EIF6	toxicity: yes vs no	country, cancer_type, Sex
prerank	Plasma Membrane Repair (GO:0001778)	0.9002006018054163	1.7323607096353955	0.09166666666666666	0.8466194743374661	0.999	1/5	10.01%	CHMP4A	toxicity: yes vs no	country, cancer_type, Sex
prerank	Positive Regulation Of Lymphocyte Migration (GO:2000403)	0.8032163957309253	1.7301654254436005	0.06198347107438017	0.803717930357216	0.999	3/6	11.81%	CXCL12;CCL5;SPN	toxicity: yes vs no	country, cancer_type, Sex
prerank	Signal Transduction In Response To DNA Damage (GO:0042770)	0.8805820371299549	1.7295736902239642	0.06751054852320675	0.7579760411877833	0.999	3/6	12.06%	CDC5L;BID;MAPK14	toxicity: yes vs no	country, cancer_type, Sex
prerank	Post-Transcriptional Regulation Of Gene Expression (GO:0010608)	0.9152457372116349	1.726607098398082	0.053061224489795916	0.7264140649508299	0.999	4/5	8.65%	MTPN;ZC3H7B;CYFIP1;EIF4E	toxicity: yes vs no	country, cancer_type, Sex
prerank	Regulation Of Translation (GO:0006417)	0.5045191928256836	1.723535276614513	0.0	0.7007350201683676	0.999	13/34	12.96%	SHMT1;EIF5;MTPN;RACK1;NPM1;CSDE1;CYFIP1;PYM1;EIF6;EIF4E;HNRNPD;RPS3;ETF1	toxicity: yes vs no	country, cancer_type, Sex
prerank	Connective Tissue Development (GO:0061448)	0.8001203376085345	1.7231594199516838	0.058091286307053944	0.6667069029011008	0.999	2/7	6.60%	COL11A2;GDF2	toxicity: yes vs no	country, cancer_type, Sex
prerank	Regulation Of Cellular Metabolic Process (GO:0031323)	0.921765295887663	1.7231411852435894	0.03474903474903475	0.635071967327788	0.999	1/5	7.85%	EIF6	toxicity: yes vs no	country, cancer_type, Sex
prerank	Protein-Containing Complex Disassembly (GO:0032984)	0.6715616241679779	1.7121472423579973	0.023668639053254437	0.6426129621432212	1.0	5/11	13.16%	APEH;PYM1;CHMP4A;ETF1;VCP	toxicity: yes vs no	country, cancer_type, Sex
prerank	Regulation Of Cell Junction Assembly (GO:1901888)	0.9217652958876632	1.7017516092847498	0.06640625	0.6477956651609953	1.0	3/5	7.95%	PRKACA;RAP1B;F11R	toxicity: yes vs no	country, cancer_type, Sex
prerank	Negative Regulation Of Protein Dephosphorylation (GO:0035308)	0.8454591068740592	1.6941653065880984	0.0958904109589041	0.6444378520670513	1.0	2/6	15.51%	YWHAE;FKBP1A	toxicity: yes vs no	country, cancer_type, Sex
