Protein	coef	HR	pvalue	CI_lower	CI_upper	adj_pvalue
PAM	-0.8272607200113948	0.43724538488210163	0.012267630601775858	0.2288486423761344	0.8354147292098373	
IL1R2	0.19765526560422464	1.2185422479808579	0.7532132255025923	0.3554028554196864	4.177921441742008	
PDCD1	-14.945847229292834	3.229245186921093e-07	0.995128822334027	0.0	inf	
HINFP	0.3109122802135632	1.3646695074178576	0.7611427273274255	0.1838297323689596	10.130694531710905	
SH2D6	14.934948150891385	3063130.9922301625	0.9957581531361437	0.0	inf	
CELA3A	-1308.5562658550853	0.0				
RELN	-0.005750792075529422	0.9942657120767467	0.9892628279044376	0.43028618267125857	2.297457706111725	
GM2A	-0.9068761207596163	0.40378362718836164	0.06381385655412788	0.1547639850434519	1.0534829375168517	
LONRF3	-0.49493336375062164	0.6096115281686979	0.5082149917241676	0.1407021015075961	2.641227183491017	
PSMA5	1.123613258105427	3.0759483435109516	0.16574660338611677	0.6279438924960287	15.067362426823195	
EXT1	0.21420811947790858	1.2388804631202304	0.6035522822635576	0.551967099788459	2.7806454451528304	
PRMT8 genes	-14.955205200708109	3.19916695787244e-07	0.9947314071893361	0.0	inf	
ICAM2	-1.4871035698516486	0.22602637796720826	0.15322218191433398	0.029368206423806713	1.7395656649825897	
NIBAN3	-1.1508185348580593	0.31637769719024667	0.015922398909101992	0.12412463870418002	0.8064059506989132	
CBLN1	0.09778923294408262	1.102730341386104	0.8104477804391748	0.4959337588497932	2.4519690061708745	
ZIK1	-0.29506029628025976	0.744486696334047	0.69046377703992	0.1742488908134889	3.1808549163830726	
NBEAL2	15.99207681368268	8815982.39717955	0.9949474552439964	0.0	inf	
GSS	2.155726743484977	8.634162720933848	0.0205709993956334	1.39265745412127	53.529865273727395	
