log2FC	AveExpr	t	pvalue	adj_pvalue	B	Protein	comparison	confounders
0.918009046053682	0.0915567623069042	6.5010010238024245	2.7032604422323998e-8	5.4065208844647994e-5	6.4948320534844	PDCD1	TP: T1 vs T0	country, cancer_type, toxicity
-0.562016226400752	1.549389959713906	-4.992306993542343	6.64153770167954e-6	0.00664153770167954	2.6075556580758477	SERPINA1	TP: T1 vs T0	country, cancer_type, toxicity
0.4190948720890215	0.04918032786885246	4.373263493477014	5.654877256160616e-5	0.037699181707737436	1.0560281966499696	CELA3A	TP: T1 vs T0	country, cancer_type, toxicity
-0.7271553028389933	0.07516331968395337	-3.4971344162470337	9.517582209825042e-4	0.47587911049125214	-1.003592821116988	MUC5AC	TP: T1 vs T0	country, cancer_type, toxicity
0.3461447458988184	0.03278688524590164	3.3629382597647695	0.0014269549056771923	0.570781962270877	-1.2986999794365452	KRT3	TP: T1 vs T0	country, cancer_type, toxicity
-0.3214227851218665	1.517835656376106	-3.252360066004459	0.0019796759676097057	0.5744169276027024	-1.5368837486733722	ACAN	TP: T1 vs T0	country, cancer_type, toxicity
-0.5578069740467253	2.4453375603801213	-3.2177335478463642	0.0021907393879160688	0.5744169276027024	-1.610498659170617	ART3	TP: T1 vs T0	country, cancer_type, toxicity
-0.21893283239646566	0.9836065573770492	-3.147209877333345	0.002687830807395081	0.5744169276027024	-1.7589487357075826	LRIG3	TP: T1 vs T0	country, cancer_type, toxicity
-0.7115036550515121	2.792125879445461	-3.13424281073932	0.002790060837350817	0.5744169276027024	-1.7860237356434756	CLSTN1	TP: T1 vs T0	country, cancer_type, toxicity
-0.702191120798439	0.7049180327868853	-3.061553780216078	0.003434013822421296	0.5744169276027024	-1.9364996453354721	DGKD	TP: T1 vs T0	country, cancer_type, toxicity
0.5382980096363433	0.11475409836065574	3.016600991957343	0.0038992690677352847	0.5744169276027024	-2.0284339837892733	CTRB2 genes	TP: T1 vs T0	country, cancer_type, toxicity
-0.8155827002282295	1.199854149356603	-2.9395114275809378	0.004836547982976828	0.5744169276027024	-2.18403474211619	SELE	TP: T1 vs T0	country, cancer_type, toxicity
0.21076631868762188	0.01639344262295082	2.9362764229751086	0.004880127798922103	0.5744169276027024	-2.190506549502838	SPRR1B genes	TP: T1 vs T0	country, cancer_type, toxicity
-0.21076631868762086	0.9836065573770492	-2.936276422975095	0.004880127798922294	0.5744169276027024	-2.190506549502865	PIEZO2	TP: T1 vs T0	country, cancer_type, toxicity
-0.21076631868762086	0.9836065573770492	-2.936276422975095	0.004880127798922294	0.5744169276027024	-2.190506549502865	ABCC2	TP: T1 vs T0	country, cancer_type, toxicity
-0.21076631868762086	0.9836065573770492	-2.9362764229750944	0.004880127798922298	0.5744169276027024	-2.190506549502865	CROCC	TP: T1 vs T0	country, cancer_type, toxicity
-0.28422221936797154	3.9305932606268965	-2.9360978597474863	0.00488254388462297	0.5744169276027024	-2.190863637933781	DPP4	TP: T1 vs T0	country, cancer_type, toxicity
-0.12329039284730414	1.5753729515290067	-2.893234114018329	0.005495789065104675	0.5878672147963206	-2.27616377817077	CADM1	TP: T1 vs T0	country, cancer_type, toxicity
0.40814285304577286	0.08196721311475409	2.8842357894584674	0.005633286870698797	0.5878672147963206	-2.293964156505291	 genes	TP: T1 vs T0	country, cancer_type, toxicity
0.5296793951378231	0.10795020492985502	2.868671366124273	0.0058786721479632065	0.5878672147963206	-2.324665402252214	LRRC15	TP: T1 vs T0	country, cancer_type, toxicity
-0.3167220646535678	3.6642317038796386	-2.828823307250006	0.006552743688587596	0.624070827484533	-2.402753366311944	NCAM2	TP: T1 vs T0	country, cancer_type, toxicity
-1.7573467746928606	3.342410757594103	-2.633017236512263	0.011026171065002185	0.9629737433013097	-2.7753679045077924	CSPG4	TP: T1 vs T0	country, cancer_type, toxicity
-0.4136278249397718	0.9180327868852459	-2.631346058447156	0.011074198047965061	0.9629737433013097	-2.778466291080661	TMPRSS11F genes	TP: T1 vs T0	country, cancer_type, toxicity
-0.22137059768268785	0.9672131147540983	-2.569953535374861	0.012976507019391908	1	-2.891297396962301	SH2D6	TP: T1 vs T0	country, cancer_type, toxicity
-0.3441106353411043	3.576091831543708	-2.560896972933133	0.013281024627015539	1	-2.9077773006207757	PROZ	TP: T1 vs T0	country, cancer_type, toxicity
1.3837285640557444	0.8201033782683976	2.5406145629496293	0.013986684425467818	1	-2.9445290657372034	ACO1	TP: T1 vs T0	country, cancer_type, toxicity
-0.7134872949409188	0.6557377049180327	-2.536611456531908	0.014129916177106338	1	-2.9517572108768193	MRPS35	TP: T1 vs T0	country, cancer_type, toxicity
-0.6665854078237915	0.5737704918032787	-2.513319556799054	0.01499001319940938	1	-2.993646216906027	RAC1	TP: T1 vs T0	country, cancer_type, toxicity
-0.2791607207754978	1.4602983612232048	-2.5052275667657256	0.015299747505817507	1	-3.0081319033187497	SLC38A6	TP: T1 vs T0	country, cancer_type, toxicity
0.684463548239074	0.5573770491803278	2.4429807577014837	0.01788263685549904	1	-3.1183895289114716	SELPLG	TP: T1 vs T0	country, cancer_type, toxicity
-0.4632075857039477	1.1494145494049501	-2.42727823101106	0.018593400427357094	1	-3.145872471313376	IL13RA1	TP: T1 vs T0	country, cancer_type, toxicity
-1.1455121068669645	2.4402532721882513	-2.406264680978809	0.01958429407030125	1	-3.1824399608888134	PTPRZ1	TP: T1 vs T0	country, cancer_type, toxicity
0.5176128541929562	0.14754098360655737	2.3991603487322863	0.01992987288936797	1	-3.1947479397999397	SMPD1	TP: T1 vs T0	country, cancer_type, toxicity
-0.21383997283043144	2.970355638251243	-2.352504909054388	0.02233847638426865	1	-3.2748818291471715	LCAT	TP: T1 vs T0	country, cancer_type, toxicity
0.3434632040839739	0.06557377049180328	2.3442844106677243	0.022788858957655363	1	-3.2888752701850397	HNRNPD	TP: T1 vs T0	country, cancer_type, toxicity
0.328833440914299	0.04237643443805174	2.3403308300072636	0.023008341280195223	1	-3.295591788755223	MYH6	TP: T1 vs T0	country, cancer_type, toxicity
0.6184753929104043	0.32786885245901637	2.3063405593108257	0.02497451654274689	1	-3.3529721222373503	EFS	TP: T1 vs T0	country, cancer_type, toxicity
0.5494876405379027	0.1995069672367592	2.2816134341886105	0.02649745094243617	1	-3.394302609913135	NCCRP1	TP: T1 vs T0	country, cancer_type, toxicity
-0.8068582295014776	1.3885122953184124	-2.279779083734199	0.026613647922338043	1	-3.397354732806951	MADCAM1	TP: T1 vs T0	country, cancer_type, toxicity
0.25273269249836394	2.462608922973558	2.27366721249102	0.02700407623779681	1	-3.407510169405903	CST3	TP: T1 vs T0	country, cancer_type, toxicity
0.2244178042904669	0.03278688524590164	2.2461405766285765	0.02882617020789689	1	-3.452981636333165	IGKV2D-30	TP: T1 vs T0	country, cancer_type, toxicity
0.3997859398206262	0.07516331968395337	2.2379123097700724	0.029391561156470923	1	-3.4664889088726643	DSG4	TP: T1 vs T0	country, cancer_type, toxicity
-0.7054886534465061	1.281794672296659	-2.2326262252946116	0.029759938693003567	1	-3.475145640748522	CRISP3	TP: T1 vs T0	country, cancer_type, toxicity
-0.3137764365607043	3.5251656087860956	-2.213344783506789	0.031138444799399517	1	-3.506583793189015	MCAM	TP: T1 vs T0	country, cancer_type, toxicity
0.3160275897671232	0.9180327868852459	2.2103805738094504	0.03135529078871913	1	-3.5113976345115088	ACIN1	TP: T1 vs T0	country, cancer_type, toxicity
-0.5886772972352865	0.6721311475409836	-2.2025451502169155	0.031934914538972355	1	-3.5240974702432197	RAI14	TP: T1 vs T0	country, cancer_type, toxicity
-0.23628950894715484	3.724816939954579	-2.198051516365369	0.032271573194397905	1	-3.531364594272782	ADAMTS13	TP: T1 vs T0	country, cancer_type, toxicity
0.16215799587013957	0.9836065573770492	2.188616551088834	0.03298861943290746	1	-3.546584202903664	CD55	TP: T1 vs T0	country, cancer_type, toxicity
-0.795122876602329	0.941577305058841	-2.1825984351615997	0.03345327922324186	1	-3.5562646561206837	MAPK1	TP: T1 vs T0	country, cancer_type, toxicity
-0.7453395711434978	0.7380254099779321	-2.1666912863570493	0.03470929167025858	1	-3.5817490095797995	IGHV5-10-1 genes	TP: T1 vs T0	country, cancer_type, toxicity
-0.24511210236365732	3.6019323453198377	-2.1541659408599667	0.03572722938980699	1	-3.6017098176744744	HGFAC	TP: T1 vs T0	country, cancer_type, toxicity
0.6381173282092463	0.3770491803278688	2.1536152950685237	0.03577257512445493	1	-3.6025852027147005	SYCN	TP: T1 vs T0	country, cancer_type, toxicity
