log2FC	AveExpr	t	pvalue	adj_pvalue	B	Protein	comparison	confounders
-1.0000000000000013	0.9655172413793104	-68.42013276044626	1.9610148811924693e-52	3.922029762384939e-49	95.01095703848269	PDE9A	TP: T1 vs T0	country, Sex
-1.5849625007211572	0.05465387933521228	-5.261845286297439	2.766594659277617e-6	0.0016812430619032091	4.271052715238955	KRT35	TP: T1 vs T0	country, Sex
-0.5000000000000016	0.9827586206896551	-5.206678287096993	3.3624861238061286e-6	0.0016812430619032091	4.081574487449075	LRIG3	TP: T1 vs T0	country, Sex
0.49999999999999917	0.9482758620689655	5.20667828709697	3.3624861238064183e-6	0.0016812430619032091	4.081574487448993	DPM3	TP: T1 vs T0	country, Sex
-0.7924812503605786	0.044568318977950966	-4.138540704433999	1.289514000540999e-4	0.051580560021639965	0.5634681462686792	KRT82	TP: T1 vs T0	country, Sex
-1.0000000000000018	2.444443829868146	-3.9069646267719347	2.724495032829823e-4	0.09081650109432743	-0.15019150468847542	ART3	TP: T1 vs T0	country, Sex
0.9999999999999992	0.896551724137931	3.7992525322941098	3.8331370776248803e-4	0.10951820221785373	-0.4746321540017844	KMT5A	TP: T1 vs T0	country, Sex
-1.000000000000001	0.8793103448275862	-3.528153942020463	8.871832834258654e-4	0.22179582085646635	-1.268112253556672	RCSD1	TP: T1 vs T0	country, Sex
-1.0000000000000044	0.8793103448275862	-3.481302257123337	0.0010224879186426792	0.22721953747615092	-1.4016833808217877	MAGED4B	TP: T1 vs T0	country, Sex
-0.5000000000000009	0.9655172413793104	-3.389846075819617	0.0013452046135932728	0.26904092271865454	-1.6592237545429889	SH2D6	TP: T1 vs T0	country, Sex
-0.5849625007211547	1.4941924575058045	-3.2136569352846074	0.0022574817821029674	0.41045123310963044	-2.1429581185881323	SLC38A6	TP: T1 vs T0	country, Sex
-1.160964047443682	0.11908432061393996	-3.008448780544145	0.004048468383174108	0.6034771606295911	-2.6844998346340487	KRT36	TP: T1 vs T0	country, Sex
0.5	0.034482758620689655	3.0028535814794783	0.0041122361169095385	0.6034771606295911	-2.698920324821679	ELOB	TP: T1 vs T0	country, Sex
-0.5000000000000016	0.9655172413793104	-2.968395727491072	0.004526078704721847	0.6034771606295911	-2.7873129238857093	TRIP11	TP: T1 vs T0	country, Sex
-0.5000000000000002	0.034482758620689655	-2.9683957274910657	0.004526078704721933	0.6034771606295911	-2.7873129238857297	OLFM4	TP: T1 vs T0	country, Sex
-1.0000000000000009	0.8448275862068966	-2.942861712996071	0.004857443049526729	0.6071803811908412	-2.8523490960766713	ABCC5	TP: T1 vs T0	country, Sex
0.16096404744368353	2.310827126098146	2.907538638773379	0.005353174429633966	0.6297852270157607	-2.941659292310359	B4GAT1	TP: T1 vs T0	country, Sex
-0.3744691179161417	3.2774540501632616	-2.8857409088491868	0.005682133177422304	0.6313481308247004	-2.9963869608647102	APOD	TP: T1 vs T0	country, Sex
-1.0000000000000018	2.0625804311810367	-2.8072158406860237	0.007028986886021676	0.7398933564233343	-3.191065681814827	LGALS3	TP: T1 vs T0	country, Sex
-1.2075187496394197	1.7474394891478084	-2.7083762968055245	0.009142821997585485	0.8701880813934224	-3.4304814270655912	PSAP	TP: T1 vs T0	country, Sex
-0.5000000000000013	0.9482758620689655	-2.704862606838802	0.009227751084218257	0.8701880813934224	-3.4388748676856893	NEURL1B	TP: T1 vs T0	country, Sex
-0.5351946639456999	2.9005632019721053	-2.6909150908854875	0.009572068895327647	0.8701880813934224	-3.472111806553929	CLSTN1	TP: T1 vs T0	country, Sex
-0.7924812503605785	1.3256676728365395	-2.6517226674068333	0.01060365150642587	0.9052468078852032	-3.564813732439894	GSN	TP: T1 vs T0	country, Sex
-0.7075187496394244	1.7664506468377008	-2.6068021383759867	0.011910519118877782	0.9052468078852032	-3.6697933404349206	PLXND1	TP: T1 vs T0	country, Sex
-0.2924812503605789	3.9891760687844116	-2.5997632478112345	0.012128135232744825	0.9052468078852032	-3.686119116352277	DPP4	TP: T1 vs T0	country, Sex
-0.4182506338585621	3.429316571525346	-2.59216752927583	0.01236702894209321	0.9052468078852032	-3.7036984189438127	SLC3A2	TP: T1 vs T0	country, Sex
-0.792481250360578	1.4063521556946303	-2.582335190089192	0.012682634783817348	0.9052468078852032	-3.7263954267678248	NEB	TP: T1 vs T0	country, Sex
-1.584962500721158	0.4873217673532827	-2.5697287946323177	0.013098012989113792	0.9052468078852032	-3.7553989513808195	H2AC8 genes	TP: T1 vs T0	country, Sex
1.292481250360579	0.822063793202918	2.514647934626369	0.015061946073551909	0.9052468078852032	-3.8808335682285504	OMD	TP: T1 vs T0	country, Sex
-2.792481250360577	0.7117743829490797	-2.5015767695950406	0.015565580159837689	0.9052468078852032	-3.9102896634535522	H4C6 genes	TP: T1 vs T0	country, Sex
-1	0.22413793103448276	-2.4918415683303223	0.01595053371624213	0.9052468078852032	-3.932150106847018	ASPH	TP: T1 vs T0	country, Sex
-2.196158711389382	0.26670918999706195	-2.4869386548940304	0.01614765045477458	0.9052468078852032	-3.943134343366957	KRT85	TP: T1 vs T0	country, Sex
-1.2924812503605785	0.8048224138925731	-2.484106042221137	0.016262534424542396	0.9052468078852032	-3.9494726528445083	CTSV	TP: T1 vs T0	country, Sex
-1.2924812503605807	1.0868810347811675	-2.4732138212714165	0.016711213391084567	0.9052468078852032	-3.973792460303134	RNASET2	TP: T1 vs T0	country, Sex
