log2FC	AveExpr	t	pvalue	adj_pvalue	B	Protein	comparison	confounders
-0.33070133072581964	0.011006684032785806	-5.886395272090378	2.9295906691370896e-8	5.859181338274179e-5	8.041364115161706	ECH1	TP: T1 vs T0	country, cancer_type, Sex
0.9709281150043447	0.4076336806557159	5.215501927697965	6.676446893699752e-7	5.101285791301573e-4	5.361767675135453	PDCD1	TP: T1 vs T0	country, cancer_type, Sex
-0.628141278009702	0.052673350699452476	-5.185101212012562	7.651928686952361e-7	5.101285791301573e-4	5.244992322582159	HSPH1	TP: T1 vs T0	country, cancer_type, Sex
-0.20924470828917613	0.013888888888888888	-3.93890213903401	1.3024749454919898e-4	0.06512374727459949	0.8683762704486977	TMPO	TP: T1 vs T0	country, cancer_type, Sex
-0.5834203005467012	0.0553977772465272	-3.8237414487867056	1.994400832496904e-4	0.07948678201949273	0.5088404869382641	SPTAN1	TP: T1 vs T0	country, cancer_type, Sex
0.3234229921915164	0.03184001736611914	3.774716448635083	2.3846034605847822e-4	0.07948678201949273	0.3583181534864366	DSG4	TP: T1 vs T0	country, cancer_type, Sex
-0.4744824960969619	0.04914455275729743	-3.538966199634583	5.503498671220625e-4	0.15482061149343634	-0.34383312134765465	ACO2	TP: T1 vs T0	country, cancer_type, Sex
0.43810652717944354	0.059617795143896916	3.504801574696988	6.192824459737454e-4	0.15482061149343634	-0.44255315193092315	KRT33B	TP: T1 vs T0	country, cancer_type, Sex
-0.21427033757694355	0.020833333333333332	-3.280500483309018	0.0013165704307439192	0.28916996443856663	-1.0710502614661213	MYOD1	TP: T1 vs T0	country, cancer_type, Sex
-0.2137727339434748	0.020833333333333332	-3.251872928136399	0.001445849822192833	0.28916996443856663	-1.14877443382903	UQCRB	TP: T1 vs T0	country, cancer_type, Sex
-0.4156009179153718	0.09027777777777778	-3.201036879159876	0.0017049976424178023	0.3099995713486913	-1.2853823521057812	SPINK1	TP: T1 vs T0	country, cancer_type, Sex
0.8814358486054812	0.2073711836292246	2.9400267948609113	0.00385802037630383	0.6373979744104186	-1.9578069367831938	KRT86	TP: T1 vs T0	country, cancer_type, Sex
0.25224078562016816	0.041666666666666664	2.9164439634833523	0.004143086833667721	0.6373979744104186	-2.0161329229810114	CELA3A	TP: T1 vs T0	country, cancer_type, Sex
