log2FC	AveExpr	t	pvalue	adj_pvalue	B	Protein	comparison	confounders
-0.5524252105721739	0.03636363636363636	-4.202625483319327	1.1444516772435507e-4	0.22889033544871012	-1.0559611209967956	ZNF654	TP: T2 vs T0	country, Sex, cancer_type
-0.4841707812953824	0.9636363636363636	-3.790970509184413	4.202069945205582e-4	0.2801379963470388	-1.661292171889226	STC2	TP: T2 vs T0	country, Sex, cancer_type
-0.4841707812953824	0.9636363636363636	-3.790970509184413	4.202069945205582e-4	0.2801379963470388	-1.661292171889226	ABCC2	TP: T2 vs T0	country, Sex, cancer_type
-3.1738865150925832	0.9973763456890791	-3.371021272399348	0.0014885897626663806	0.7442948813331903	-2.2585198502690766	KRT77	TP: T2 vs T0	country, Sex, cancer_type
1.6051539032387032	2.103821692286332	3.267093394992455	0.0020131823882965634	0.8052729553186253	-2.4019724641838027	SMPDL3A	TP: T2 vs T0	country, Sex, cancer_type
-0.48417078129538194	0.9454545454545454	-3.0254476144905245	0.003985667523741378	1	-2.7272717713022354	ERLEC1	TP: T2 vs T0	country, Sex, cancer_type
-2.3894575103037434	4.632304064510873	-2.986357664693174	0.004439653527820709	1	-2.7787026198110554	KRT5	TP: T2 vs T0	country, Sex, cancer_type
0.7545247534645272	1.4878743188505268	2.9089778602848186	0.0054842050195635225	1	-2.879449751739724	SERPINA1	TP: T2 vs T0	country, Sex, cancer_type
0.29683415625907605	0.05454545454545454	2.845616155722735	0.00650536739242691	1	-2.9608529497131837	NCSTN	TP: T2 vs T0	country, Sex, cancer_type
1.029343295014956	1.897067207775226	2.7545707578013716	0.008284027462189281	1	-3.0760144164113594	YWHAG	TP: T2 vs T0	country, Sex, cancer_type
-0.8759706982276627	1.380150455148603	-2.7122658539494866	0.009254756832208512	1	-3.128770213292288	STAG1	TP: T2 vs T0	country, Sex, cancer_type
-0.44989834446703414	0.9454545454545454	-2.690613257079858	0.009791137356470286	1	-3.155580844216	ZNF3	TP: T2 vs T0	country, Sex, cancer_type
-1.0965491104268221	2.188199934335338	-2.6225351820807896	0.011669084507379815	1	-3.2390125943369417	ARHGDIB	TP: T2 vs T0	country, Sex, cancer_type
-0.5230903282021493	0.9090909090909091	-2.6046911455328465	0.012213108941545113	1	-3.2606598472667097	FREM2	TP: T2 vs T0	country, Sex, cancer_type
-0.5230903282021493	0.9090909090909091	-2.6046911455328465	0.012213108941545113	1	-3.2606598472667097	GBP6	TP: T2 vs T0	country, Sex, cancer_type
-0.4864943363345914	0.9272727272727272	-2.498072620858334	0.01597505242817595	1	-3.3880208188230663	TACC2	TP: T2 vs T0	country, Sex, cancer_type
-1.3399992735568853	2.2142905739977636	-2.3785543547047046	0.02141797452883127	1	-3.5265800564406296	GP5	TP: T2 vs T0	country, Sex, cancer_type
-1.1119353151255305	0.9578423292077425	-2.37183251116306	0.021768637616050936	1	-3.534235351900964	MAPK1	TP: T2 vs T0	country, Sex, cancer_type
-0.6671507406331687	0.16363636363636364	-2.3454244902573036	0.023196697116530548	1	-3.5641653981023094	MIA3	TP: T2 vs T0	country, Sex, cancer_type
-0.4475747894278246	0.9272727272727272	-2.3428353276306297	0.023341131644100344	1	-3.567087344126816	MAGEA4	TP: T2 vs T0	country, Sex, cancer_type
-0.7795527156549507	0.32727272727272727	-2.3094471021797176	0.025277114606787176	1	-3.6045644641717125	LRRC4B	TP: T2 vs T0	country, Sex, cancer_type
-1.2567319561185917	1.9625225557285197	-2.294841252502844	0.026168194846379934	1	-3.6208399364314063	FTL	TP: T2 vs T0	country, Sex, cancer_type
-0.7452802788266047	0.34545454545454546	-2.2535999189733045	0.028837244174412142	1	-3.6663990022647157	CLC	TP: T2 vs T0	country, Sex, cancer_type
0.806564042985768	0.45454545454545453	2.248046505222318	0.029214535800303667	1	-3.672488657475224	MAP2K3	TP: T2 vs T0	country, Sex, cancer_type
